Satellite Name,TLE Line 1,TLE Line 2,Fuente CSV
ASTROCAST-0401,1 55110U 23001DF  25185.94500001  .00004810  00000+0  21658-3 0  9995,2 55110  97.5751 270.5981 0008749 356.1241   3.9925 15.21528692138292,TLE_2025_07_05.csv
ASTROCAST-0401,1 55110U 23001DF  25185.94500001  .00004810  00000+0  21658-3 0  9995,2 55110  97.5751 270.5981 0008749 356.1241   3.9925 15.21528692138292,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25189.16745521  .00004752  00000+0  21381-3 0  9999,2 55110  97.5754 273.8408 0008470 344.1134  15.9835 15.21564167138788,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25183.18283729  .00004552  00000+0  20532-3 0  9997,2 55110  97.5746 267.8187 0009008   6.1058 354.0285 15.21500661137878,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25184.69545641  .00004716  00000+0  21250-3 0  9998,2 55110  97.5748 269.3407 0008854   0.5710 359.5534 15.21516042138107,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25190.48272318  .00003850  00000+0  17382-3 0  9999,2 55110  97.5756 275.1646 0008312 338.9382  21.1510 15.21574905138982,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25180.22332274  .00003629  00000+0  16448-3 0  9994,2 55110  97.5750 264.8405 0009344  16.1461 344.0071 15.21473084137426,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25186.73417981  .00004960  00000+0  22320-3 0  9990,2 55110  97.5754 271.3924 0008665 353.4182   6.6938 15.21537372138415,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25187.78641239  .00005226  00000+0  23493-3 0  9999,2 55110  97.5754 272.4512 0008570 349.3914  10.7139 15.21549320138574,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25184.49815904  .00004862  00000+0  21898-3 0  9998,2 55110  97.5747 269.1422 0008878   1.3477 358.7781 15.21514369138077,ASTROCAST-0401.csv
ASTROCAST-0401,1 55110U 23001DF  25189.16745521  .00004752  00000+0  21381-3 0  9999,2 55110  97.5754 273.8408 0008470 344.1134  15.9835 15.21564167138788,TLE_2025_07_08.csv
ASTROCAST-0401,1 55110U 23001DF  25183.18283729  .00004552  00000+0  20532-3 0  9997,2 55110  97.5746 267.8187 0009008   6.1058 354.0285 15.21500661137878,TLE_2025_07_02.csv
ASTROCAST-0401,1 55110U 23001DF  25184.69545641  .00004716  00000+0  21250-3 0  9998,2 55110  97.5748 269.3407 0008854   0.5710 359.5534 15.21516042138107,TLE_2025_07_04.csv
ASTROCAST-0401,1 55110U 23001DF  25190.48272318  .00003850  00000+0  17382-3 0  9999,2 55110  97.5756 275.1646 0008312 338.9382  21.1510 15.21574905138982,TLE_2025_07_09.csv
ASTROCAST-0401,1 55110U 23001DF  25180.22332274  .00003629  00000+0  16448-3 0  9994,2 55110  97.5750 264.8405 0009344  16.1461 344.0071 15.21473084137426,TLE_2025_06_29.csv
ASTROCAST-0401,1 55110U 23001DF  25186.73417981  .00004960  00000+0  22320-3 0  9990,2 55110  97.5754 271.3924 0008665 353.4182   6.6938 15.21537372138415,TLE_2025_07_06.csv
ASTROCAST-0401,1 55110U 23001DF  25187.78641239  .00005226  00000+0  23493-3 0  9999,2 55110  97.5754 272.4512 0008570 349.3914  10.7139 15.21549320138574,TLE_2025_07_07.csv
ASTROCAST-0401,1 55110U 23001DF  25184.49815904  .00004862  00000+0  21898-3 0  9998,2 55110  97.5747 269.1422 0008878   1.3477 358.7781 15.21514369138077,TLE_2025_07_03.csv
