Satélite,TLE Época,Timestamp,Latitud (°),Longitud (°),Altitud (km),Elevación (°),Azimut (°),Distancia (km),FSPL_UL (dB),A_lluvia (dB),SNR_UL (dB),VISIBLE (1/0),TRANSMISIÓN (1/0)
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:31:02.292672+00:00,0.095604,-76.290326,493.619,-66.139,311.558,12207.654,179.75,0.0,-21.49,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:36:02.292672+00:00,19.095773,-80.148063,492.933,-58.856,328.393,11496.851,179.23,0.0,-20.97,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:41:02.292672+00:00,38.015017,-84.702946,495.559,-50.606,340.573,10494.914,178.43,0.0,-20.17,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:46:02.292672+00:00,56.711776,-91.630824,499.63,-41.829,350.647,9231.853,177.32,0.0,-19.06,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:51:02.292672+00:00,74.567942,-109.858622,502.855,-32.699,0.292,7752.768,175.8,0.0,-17.54,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T04:56:02.292672+00:00,80.711094,151.31921,503.556,-23.271,11.247,6126.429,173.76,0.0,-15.5,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:01:02.292672+00:00,64.4825,112.283611,501.399,-13.586,26.672,4476.692,171.03,0.0,-12.77,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:06:02.292672+00:00,45.985806,102.82905,497.534,-4.433,54.157,3106.665,167.86,0.0,-9.6,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:11:02.292672+00:00,27.138356,97.604358,494.096,-1.789,99.778,2764.77,166.85,0.0,-8.59,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:16:02.292672+00:00,8.162301,93.558411,493.253,-9.394,136.214,3793.391,169.6,0.0,-11.34,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:21:02.292672+00:00,-10.838504,89.774323,496.185,-19.33,155.063,5411.775,172.68,0.0,-14.42,0,0
ASTROCAST-0401,2026-01-03T04:31:02.292672+00:00,2026-01-03T05:26:02.292672+00:00,-29.772642,85.640453,502.474,-29.247,166.115,7128.222,175.07,0.0,-16.82,0,0
