Satellite Name,TLE Line 1,TLE Line 2
STAR VIBE,1 55009U 23001A   25290.10983944  .00022136  00000+0  65940-3 0  9991,2 55009  97.3553 349.4293 0005244 268.2719  91.7924 15.34689230154842
MENUT,1 55010U 23001B   25290.20565281  .00049391  00000+0  14275-2 0  9990,2 55010  97.3620 349.9078 0004222 263.5241  96.5522 15.35472575154837
BRO-8,1 55011U 23001C   25290.17511978  .00040007  00000+0  12003-2 0  9993,2 55011  97.3617 348.9903 0006395 279.8119  80.2402 15.34333752154768
CONNECTA T1.2,1 55012U 23001D   25290.15929727  .00017006  00000+0  45352-3 0  9994,2 55012  97.3644 353.5918 0006183 250.2353 109.8226 15.38196524155058
BIRKELAND,1 55015U 23001G   25290.20074333  .00015175  00000+0  45468-3 0  9990,2 55015  97.3686 353.0103 0006119 253.1663 106.8909 15.34580941155010
OBJECT H,1 55016U 23001H   25290.15714280  .00020480  00000+0  61905-3 0  9996,2 55016  97.3539 349.4895 0006100 261.7376  98.3175 15.34237568154867
KSF3-B,1 55019U 23001L   25290.13941524  .00184711  00000+0  17846-2 0  9992,2 55019  97.3582   4.9649 0003991 162.2000 197.9400 15.65855563155832
LYNK TOWER 4,1 55034U 23001AB  25290.15076351  .00010376  00000+0  37385-3 0  9994,2 55034  97.3588 346.6142 0007475 262.8754  97.1636 15.28720322154635
UMBRA-05,1 55036U 23001AD  25290.13446738  .00313007  00000+0  32551-2 0  9990,2 55036  97.3510 349.7698 0002822 183.9147 176.2090 15.63585894154840
SKYKRAFT-1,1 55041U 23001AJ  25290.14682959  .00043153  00000+0  89639-3 0  9996,2 55041  97.3567 355.9411 0006062 226.6890 133.3854 15.45535550155263
FLOCK 4Y-11,1 55043U 23001AL  25290.19128463  .02455873  81864-2  25035-2 0  9995,2 55043  97.3481   7.0541 0009779 273.0780  86.9386 16.12858156155977
NUSAT-34 (AMELIA EARHA*),1 55045U 23001AN  25290.15504132  .00022498  00000+0  83904-3 0  9995,2 55045  97.3639 351.7232 0006695 218.5452 141.5310 15.27410858155157
LYNK TOWER 3,1 55046U 23001AP  25290.11510863  .00018980  00000+0  66044-3 0  9997,2 55046  97.3591 347.1634 0007590 265.1652  94.8722 15.29716457154663
NUSAT-33 (ALBANIA-2),1 55047U 23001AQ  25289.89431720  .00015762  00000+0  59195-3 0  9999,2 55047  97.3387 350.4095 0008477 181.4443 178.6773 15.27241275155182
NUSAT-35 (WILLIAMINA),1 55048U 23001AR  25290.15848543  .00022607  00000+0  78470-3 0  9999,2 55048  97.2259 344.4452 0004655 244.0710 116.0052 15.29776536155199
ICEYE-X21,1 55049U 23001AS  25290.19412351  .00088533  00000+0  15285-2 0  9992,2 55049  97.3618 358.4967 0014479 221.8830 138.1315 15.50577751155411
ION SCV-008,1 55051U 23001AU  25290.20969374  .00013479  00000+0  54917-3 0  9992,2 55051  97.5800  18.1094 0017166 144.3380 215.9008 15.24461117154269
EOSSAT-1,1 55053U 23001AW  25290.14020453  .00013032  00000+0  45848-3 0  9991,2 55053  97.3611 347.9825 0008264 261.8857  98.1446 15.29436914154716
SKYKRAFT-1A,1 55054U 23001AX  25290.13948714  .00008646  00000+0  33848-3 0  9992,2 55054  97.3606 346.2698 0008715 271.5388  88.4852 15.26017219154611
VIGORIDE-5,1 55056U 23001AZ  25290.15450764  .00040766  00000+0  95141-3 0  9992,2 55056  97.3583 351.7525 0003132 239.9776 120.1160 15.42098151154982
SKYKRAFT-1B,1 55058U 23001BB  25290.11954815  .00216697  00000+0  15027-2 0  9998,2 55058  97.3490   4.1930 0005049 207.1015 152.9986 15.73811672155819
ION SCV-007,1 55060U 23001BD  25290.12485020  .00000957  00000+0  14216-3 0  9999,2 55060  97.9361 352.5544 0013371  45.8666 314.3641 14.77210043150367
