Satellite Name,Num Linea 1,NORAD_ID_1,Clasificacion,Designacion Internacional,Epoca,1ra Derivada,2da Derivada,BSTAR,Tipo Elemento,Checksum 1,Num Linea 2,NORAD_ID_2,Inclinacion (°),RAAN (°),Excentricidad,Arg Perigeo (°),Anomalia Media (°),Movimiento Medio (rev/día),Revolucion Epoca,Checksum 2,Fecha UTC
ASTROCAST-0401,1,55110,U,23001DF,25292.23225782,0.00015894,00000+0,66941-3,0,4,2,55110,97.5695,17.6373,0.0008185,342.9325,17.1635,15.23409913,15446,2,2025-10-19 05:34:27.075648
ASTROCAST-0401,1,55110,U,23001DF,25295.18797426,0.00010764,00000+0,45377-3,0,1,2,55110,97.569,20.6181,0.0008011,331.3825,28.6971,15.23477145,15491,5,2025-10-22 04:30:40.976064
ASTROCAST-0401,1,55110,U,23001DF,25274.49532132,0.00018543,00000+0,78925-3,0,1,2,55110,97.5692,359.7585,0.0009681,43.7963,316.4039,15.23004876,15176,2,2025-10-01 11:53:15.762048
ASTROCAST-0401,1,55110,U,23001DF,25201.20176992,5.301e-05,00000+0,23737-3,0,7,2,55110,97.5745,285.9531,0.0007665,295.8651,64.1794,15.21684164,14061,5,2025-07-20 04:50:32.921088
ASTROCAST-0401,1,55110,U,23001DF,25192.78442301,3.937e-05,00000+0,17760-3,0,1,2,55110,97.5754,277.4814,0.0008116,330.2045,29.8727,15.21592477,13933,4,2025-07-11 18:49:34.148064
ASTROCAST-0401,1,55110,U,23001DF,25232.23552031,7.624e-05,00000+0,33551-3,0,1,2,55110,97.5731,317.1943,0.0009344,175.7959,184.3357,15.22111217,14533,7,2025-08-20 05:39:08.954784
ASTROCAST-0401,1,55110,U,23001DF,25255.70138671,6.059e-05,00000+0,26378-3,0,8,2,55110,97.5704,340.8258,0.0010331,102.2035,258.0359,15.22560143,14890,0,2025-09-12 16:49:59.811744
ASTROCAST-0401,1,55110,U,23001DF,25286.51749104,0.00011783,00000+0,49904-3,0,0,2,55110,97.5681,11.8757,0.0008694,3.3158,356.8134,15.23287824,15359,1,2025-10-13 12:25:11.225856
ASTROCAST-0401,1,55110,U,23001DF,25281.19645521,0.00011683,00000+0,49643-3,0,6,2,55110,97.5697,6.5128,0.000913,21.4132,338.7485,15.23176249,15278,6,2025-10-08 04:42:53.730144
ASTROCAST-0401,1,55110,U,23001DF,25254.7812923,7.356e-05,00000+0,31963-3,0,3,2,55110,97.5706,339.8991,0.0010306,104.9275,255.3103,15.22549416,14876,2,2025-09-11 18:45:03.654720
