Satellite Name,TLE Line 1,TLE Line 2
ASTROCAST-0401,1 55110U 23001DF  25292.23225782  .00015894  00000+0  66941-3 0  9994,2 55110  97.5695  17.6373 0008185 342.9325  17.1635 15.23409913154462
ASTROCAST-0401,1 55110U 23001DF  25295.18797426  .00010764  00000+0  45377-3 0  9991,2 55110  97.5690  20.6181 0008011 331.3825  28.6971 15.23477145154915
ASTROCAST-0401,1 55110U 23001DF  25274.49532132  .00018543  00000+0  78925-3 0  9991,2 55110  97.5692 359.7585 0009681  43.7963 316.4039 15.23004876151762
ASTROCAST-0401,1 55110U 23001DF  25201.20176992  .00005301  00000+0  23737-3 0  9997,2 55110  97.5745 285.9531 0007665 295.8651  64.1794 15.21684164140615
ASTROCAST-0401,1 55110U 23001DF  25192.78442301  .00003937  00000+0  17760-3 0  9991,2 55110  97.5754 277.4814 0008116 330.2045  29.8727 15.21592477139334
ASTROCAST-0401,1 55110U 23001DF  25232.23552031  .00007624  00000+0  33551-3 0  9991,2 55110  97.5731 317.1943 0009344 175.7959 184.3357 15.22111217145337
ASTROCAST-0401,1 55110U 23001DF  25255.70138671  .00006059  00000+0  26378-3 0  9998,2 55110  97.5704 340.8258 0010331 102.2035 258.0359 15.22560143148900
ASTROCAST-0401,1 55110U 23001DF  25286.51749104  .00011783  00000+0  49904-3 0  9990,2 55110  97.5681  11.8757 0008694   3.3158 356.8134 15.23287824153591
ASTROCAST-0401,1 55110U 23001DF  25281.19645521  .00011683  00000+0  49643-3 0  9996,2 55110  97.5697   6.5128 0009130  21.4132 338.7485 15.23176249152786
ASTROCAST-0401,1 55110U 23001DF  25254.78129230  .00007356  00000+0  31963-3 0  9993,2 55110  97.5706 339.8991 0010306 104.9275 255.3103 15.22549416148762
ASTROCAST-0401,1 55110U 23001DF  25267.20183965  .00014097  00000+0  60520-3 0  9990,2 55110  97.5704 352.4106 0010006  66.9775 293.2516 15.22771923150658
ASTROCAST-0401,1 55110U 23001DF  25260.82748655  .00007005  00000+0  30378-3 0  9993,2 55110  97.5707 345.9882 0010293  86.7351 273.5062 15.22636120149684
ASTROCAST-0401,1 55110U 23001DF  25282.24755261  .00009538  00000+0  40571-3 0  9993,2 55110  97.5694   7.5724 0009066  18.0775 342.0782 15.23199227152946
ASTROCAST-0401,1 55110U 23001DF  25263.78472963  .00009474  00000+0  40903-3 0  9994,2 55110  97.5713 348.9673 0010169  77.2684 282.9688 15.22684238150131
ASTROCAST-0401,1 55110U 23001DF  25208.23772401  .00006685  00000+0  29760-3 0  9992,2 55110  97.5746 293.0355 0007665 266.6356  93.4002 15.21778769141688
