Satellite Name,Num Linea 1,NORAD_ID_1,Clasificacion,Designacion Internacional,Epoca,1ra Derivada,2da Derivada,BSTAR,Tipo Elemento,Checksum 1,Num Linea 2,NORAD_ID_2,Inclinacion (°),RAAN (°),Excentricidad,Arg Perigeo (°),Anomalia Media (°),Movimiento Medio (rev/día),Revolucion Epoca,Checksum 2
STAR VIBE,1,55009,U,23001A,25310.1873651,0.00018623,00000+0,54305-3,0,6,2,55009,97.3516,9.4506,0.0006537,185.2999,174.8177,15.35388456,15792,7
MENUT,1,55010,U,23001B,25310.26688566,0.00048465,00000+0,13301-2,0,1,2,55010,97.3577,9.9681,0.0005964,181.9398,178.1824,15.37087041,15791,7
BRO-8,1,55011,U,23001C,25310.31948196,0.00034464,00000+0,99786-3,0,2,2,55011,97.3575,9.091,0.0007407,198.2098,161.8881,15.35480602,15785,7
CONNECTA T1.2,1,55012,U,23001D,25310.12601784,0.00016796,00000+0,43777-3,0,8,2,55012,97.3614,13.634,0.0007958,173.1727,186.9628,15.38893589,15812,5
BIRKELAND,1,55015,U,23001G,25310.28081475,0.000295,00000+0,86442-3,0,0,2,55015,97.3653,13.0649,0.0007793,174.2263,185.9072,15.35133796,15809,3
OBJECT H,1,55016,U,23001H,25310.24080578,0.00018366,00000+0,54382-3,0,6,2,55016,97.3501,9.4988,0.0007477,181.2348,178.8879,15.34902172,15794,2
KSF3-B,1,55019,U,23001L,25310.16018662,0.00363836,00000+0,24770-2,0,7,2,55019,97.3526,25.9922,0.0002366,77.0753,283.0775,15.73839117,15897,6
LYNK TOWER 4,1,55034,U,23001AB,25310.11193962,0.00010722,00000+0,38088-3,0,7,2,55034,97.3548,6.3448,0.0008932,183.2261,176.8923,15.29162628,15768,0
UMBRA-05,1,55036,U,23001AD,25310.14471372,0.00561937,00000+0,30867-2,0,1,2,55036,97.3449,10.7881,0.0002766,295.4004,64.6976,15.78238782,15798,6
SKYKRAFT-1,1,55041,U,23001AJ,25310.33735168,0.00088613,00000+0,17350-2,0,1,2,55041,97.3533,16.4247,0.0007175,153.576,206.5857,15.47056149,15838,8
